date,description,amount
2026-03-01,Apple iCloud 200GB,-274000
2026-03-01,Lotte Cinema,-544000
2026-03-01,Steam game purchase,-364000
2026-03-02,Highlands Coffee,-311000
2026-03-04,Vietnam Airlines HAN-SGN,-631000
2026-03-07,VNPT fiber,-1064000
2026-03-08,Netflix monthly subscription,-370000
2026-03-09,Phuc Long Tea,-283000
2026-03-10,Highlands Coffee,-204000
2026-03-13,Phuc Long Tea,-229000
2026-03-13,Sawaco water bill,-276000
2026-03-14,Xanh SM,-157000
2026-03-15,Highlands Crescent Mall,-59000
2026-03-17,Pharmacity,-1154000
2026-03-18,Vietnam Airlines HAN-SGN,-474000
2026-03-20,Cursor Pro,-252000
2026-03-21,ShopeeFood delivery,-160000
2026-03-22,Highlands Crescent Mall,-156000
2026-03-23,Vietnam Airlines HAN-SGN,-795000
2026-03-25,Foreign exchange fee,-99000
2026-03-25,Lazada order,-1168000
2026-03-26,Salary deposit payroll,28000000
2026-03-28,Cursor Pro,-482000
2026-03-28,Highlands Coffee,-82000
2026-03-28,VNPT fiber,-672000
2026-03-28,Viettel internet,-247000
2026-03-29,Apple iCloud 200GB,-478000
2026-03-29,CGV cinema,-333000
2026-03-30,Lotteria,-65000
2026-03-30,Shell Petrol,-96000
2026-04-01,Starbucks Saigon Centre,-106000
2026-04-03,Guardian skincare,-388000
2026-04-03,MM Mega Market,-2622000
2026-04-04,KFC District 1,-309000
2026-04-04,Vincom Center,-2895000
2026-04-05,Transfer to savings account,-704000
2026-04-07,Bank fee monthly,-77000
2026-04-09,Phuc Long Tea,-220000
2026-04-10,The Coffee House,-51000
2026-04-11,Unknown merchant POS,-370000
2026-04-13,Be Taxi,-235000
2026-04-13,Lotteria,-251000
2026-04-16,Steam game purchase,-488000
2026-04-17,Transfer from family,-1832000
2026-04-18,EVN electricity bill,-348000
2026-04-19,Steam game purchase,-145000
2026-04-21,Apple iCloud 200GB,-368000
2026-04-21,Cash withdrawal ATM,-51000
2026-04-24,Cash withdrawal ATM,-322000
2026-04-24,Foreign exchange fee,-201000
2026-04-26,Refund e-commerce,19000000
2026-04-28,Medlatec test,-1366000
2026-04-28,Pizza 4Ps,-177000
2026-04-28,Pizza 4Ps,-170000
2026-04-29,FPT play,-1200000
2026-04-29,Lotte Cinema,-365000
2026-04-30,Refund e-commerce,22962000
2026-05-02,GrabFood lunch order,-200000
2026-05-03,Be Taxi,-536000
2026-05-04,GrabFood lunch order,-279000
2026-05-05,YouTube Premium,-107000
2026-05-06,Bank fee monthly,-244000
2026-05-07,Tiki order,-2359000
2026-05-08,Lotteria,-270000
2026-05-10,Grab Car,-468000
2026-05-10,Pizza 4Ps,-75000
2026-05-11,Co.opmart,-3003000
2026-05-12,Grab Bike,-261000
2026-05-13,Uniqlo Saigon,-1631000
2026-05-14,Notion Plus subscription,-318000
2026-05-14,Vincom Center,-389000
2026-05-15,Banh Mi Huynh Hoa,-45000
2026-05-16,Pho 24,-70000
2026-05-21,Cash withdrawal ATM,-331000
2026-05-21,Concert ticket Mỹ Tâm,-356000
2026-05-21,Spotify Premium subscription,-354000
2026-05-23,Bonus Q1 payroll deposit,21967000
2026-05-24,Grab Car,-61000
2026-05-24,YouTube Premium,-180000
2026-05-25,Apple iCloud 200GB,-334000
2026-05-25,Salary deposit payroll,27000000
2026-05-27,KFC District 1,-116000
2026-05-27,Microsoft 365,-60000
